sample_index,timestamp,time_s,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g,total_g,p_fore_g,p_arch_g,p_heel_g,p_medial_g,p_lateral_g,cop_x_mm,cop_y_mm,cop_ap_norm,cop_ml_norm,cop_ap_dot_norm_s,cop_ml_dot_norm_s,gait_state,stance_phase,tau_proxy_pf_nm,tau_proxy_pf_nm_clipped,activity_pred,quality_flags
0,2026-05-14 22:45:53,0.000000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1162.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1743.000000,1162.000000,581.000000,0.000000,1743.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
1,2026-05-14 22:45:53,0.050000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1162.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1743.000000,1162.000000,581.000000,0.000000,1743.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
2,2026-05-14 22:45:53,0.100000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1162.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1743.000000,1162.000000,581.000000,0.000000,1743.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
3,2026-05-14 22:45:53,0.150000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1765.000000,1184.000000,581.000000,0.000000,1765.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
4,2026-05-14 22:45:53,0.200000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1765.000000,1184.000000,581.000000,0.000000,1765.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
5,2026-05-14 22:45:53,0.250000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1765.000000,1184.000000,581.000000,0.000000,1765.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
6,2026-05-14 22:45:53,0.300000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,570.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1754.000000,1184.000000,570.000000,0.000000,1754.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
7,2026-05-14 22:45:53,0.350000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1185.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1766.000000,1185.000000,581.000000,0.000000,1766.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
8,2026-05-14 22:45:53,0.400000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1162.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1743.000000,1162.000000,581.000000,0.000000,1743.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
9,2026-05-14 22:45:53,0.450000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1174.000000,0.000000,0.000000,0.000000,0.000000,0.000000,549.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1723.000000,1174.000000,549.000000,0.000000,1723.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
10,2026-05-14 22:45:53,0.500000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1174.000000,0.000000,0.000000,0.000000,0.000000,0.000000,571.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1745.000000,1174.000000,571.000000,0.000000,1745.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
11,2026-05-14 22:45:53,0.550000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1174.000000,0.000000,0.000000,0.000000,0.000000,0.000000,571.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1745.000000,1174.000000,571.000000,0.000000,1745.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
12,2026-05-14 22:45:54,0.600000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1185.000000,0.000000,0.000000,0.000000,0.000000,0.000000,571.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1756.000000,1185.000000,571.000000,0.000000,1756.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
13,2026-05-14 22:45:54,0.650000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1196.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1777.000000,1196.000000,581.000000,0.000000,1777.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
14,2026-05-14 22:45:54,0.700000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1196.000000,0.000000,0.000000,0.000000,0.000000,0.000000,569.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1765.000000,1196.000000,569.000000,0.000000,1765.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
15,2026-05-14 22:45:54,0.750000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1196.000000,0.000000,0.000000,0.000000,0.000000,0.000000,581.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1777.000000,1196.000000,581.000000,0.000000,1777.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
16,2026-05-14 22:45:54,0.800000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1185.000000,0.000000,0.000000,0.000000,0.000000,0.000000,571.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1756.000000,1185.000000,571.000000,0.000000,1756.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
17,2026-05-14 22:45:54,0.850000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,569.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1753.000000,1184.000000,569.000000,0.000000,1753.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
18,2026-05-14 22:45:54,0.900000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,569.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1753.000000,1184.000000,569.000000,0.000000,1753.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
19,2026-05-14 22:45:54,0.950000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1185.000000,0.000000,0.000000,0.000000,0.000000,0.000000,570.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1755.000000,1185.000000,570.000000,0.000000,1755.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
20,2026-05-14 22:45:54,1.000000,2026-5-14_levelground 1_left.csv,level_walking,0.000000,0.000000,1185.000000,0.000000,0.000000,0.000000,0.000000,0.000000,571.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1756.000000,1185.000000,571.000000,0.000000,1756.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Swing,0.000000,0.000000,0.000000,level walking,cop_invalid
