sample_index,timestamp,time_s,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g,total_g,p_fore_g,p_arch_g,p_heel_g,p_medial_g,p_lateral_g,cop_x_mm,cop_y_mm,cop_ap_norm,cop_ml_norm,cop_ap_dot_norm_s,cop_ml_dot_norm_s,gait_state,stance_phase,tau_proxy_pf_nm,tau_proxy_pf_nm_clipped,activity_pred,quality_flags
12,2026-05-14 23:08:07,0.600000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.769231,2.587424,1.500000,ambiguous_stair,
13,2026-05-14 23:08:07,0.650000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,TerminalStance,0.846154,2.587424,1.500000,ambiguous_stair,
14,2026-05-14 23:08:07,0.700000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,0.923077,2.587424,1.500000,ambiguous_stair,
15,2026-05-14 23:08:07,0.750000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
16,2026-05-14 23:08:07,0.800000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
17,2026-05-14 23:08:08,0.850000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
18,2026-05-14 23:08:08,0.900000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
19,2026-05-14 23:08:08,0.950000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
20,2026-05-14 23:08:08,1.000000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
21,2026-05-14 23:08:08,1.050000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
22,2026-05-14 23:08:08,1.100000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
23,2026-05-14 23:08:08,1.150000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
24,2026-05-14 23:08:08,1.200000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
25,2026-05-14 23:08:08,1.250000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
26,2026-05-14 23:08:08,1.300000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
27,2026-05-14 23:08:08,1.350000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
28,2026-05-14 23:08:08,1.400000,2026-5-14_stair2_left.csv,stair2,1201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,598.000000,0.000000,0.000000,0.000000,0.000000,0.000000,527.000000,0.000000,0.000000,97.000000,0.000000,0.000000,2423.000000,1201.000000,598.000000,624.000000,624.000000,1799.000000,27.293772,186.755658,0.696342,0.314313,0.000000,0.000000,PreSwing,1.000000,2.587424,1.500000,ambiguous_stair,
