sample_index,timestamp,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g
0,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1162.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1174.0,0.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1174.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2026-05-14 22:45:53,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1174.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1196.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1196.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1196.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1153.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1195.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1195.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1186.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1195.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2026-05-14 22:45:54,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1195.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1195.0,0.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1185.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1196.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1196.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1196.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1194.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2026-05-14 22:45:55,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1208.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,2026-05-14 22:45:56,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1198.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,2026-05-14 22:45:56,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1175.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,2026-05-14 22:45:56,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1175.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2026-05-14 22:45:56,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,2026-05-14 22:45:56,2026-5-14_levelground 1_left.csv,level_walking,0.0,0.0,1196.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
