sample_index,timestamp,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g
28,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
29,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
30,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
31,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
32,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
33,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
34,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
35,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
36,2026-05-14 23:08:08,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
37,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
38,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
39,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
40,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
41,2026-05-14 23:08:09,2026-5-14_stair2_left.csv,stair2,1201.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,527.0,0.0,0.0,97.0,0.0,0.0
