sample_index,timestamp,source_file,activity_hint,L1_g,L2_g,L3_g,L4_g,L5_g,L6_g,L7_g,L8_g,L9_g,L10_g,L11_g,L12_g,L13_g,L14_g,L15_g,L16_g,L17_g,L18_g
107,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2026-05-14 23:02:58,2026-5-14_ramp_left.csv,ramp,0.0,0.0,3082.0,217.0,0.0,0.0,0.0,0.0,1355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
