epoch,mark,Measured Torque,Desired Torque,DPJMC Alpha,DPJMC Tau Des PF,Pressure Total,COP AP,COP ML,DPJMC State,DPJMC Fault Flags,Exoskeleton time (seconds)
1779334524.243979,0,0.000000,0.000000,0.000000,0.000000,180.740000,0.050000,-0.310000,0.000000,48.000000,20.480000
1779334524.283978,0,0.000000,0.000000,0.000000,0.000000,180.740000,0.050000,-0.310000,0.000000,48.000000,20.520000
1779334524.312477,0,0.000000,0.000000,0.000000,0.000000,180.740000,0.050000,-0.310000,0.000000,48.000000,20.530000
1779334524.312977,0,0.000000,0.000000,0.000000,0.000000,180.740000,0.050000,-0.310000,0.000000,48.000000,20.540000
1779334524.336478,0,0.000000,0.000000,0.000000,0.000000,180.740000,0.050000,-0.310000,0.000000,48.000000,20.540000
1779334524.356977,0,0.000000,0.000000,0.000000,0.000000,180.740000,0.050000,-0.310000,0.000000,48.000000,20.550000
1779334524.357477,0,0.000000,0.000000,0.000000,0.000000,178.890000,0.050000,-0.310000,0.000000,51.000000,20.560000
1779334524.528477,0,0.000000,0.000000,0.000000,0.000000,178.890000,0.050000,-0.310000,0.000000,51.000000,20.570000
1779334524.529477,0,0.000000,0.000000,0.000000,0.000000,178.890000,0.050000,-0.310000,0.000000,51.000000,20.590000
1779334524.529477,0,0.000000,0.000000,0.000000,0.000000,178.890000,0.050000,-0.310000,0.000000,51.000000,20.600000
1779334524.529977,0,0.000000,0.000000,0.000000,0.000000,178.890000,0.050000,-0.310000,0.000000,51.000000,20.620000
1779334524.529977,0,0.000000,0.000000,0.000000,0.000000,178.890000,0.050000,-0.310000,0.000000,51.000000,20.620000
1779334524.530477,0,0.000000,0.000000,0.000000,0.000000,178.890000,0.050000,-0.310000,0.000000,51.000000,20.630000
1779334524.530977,0,0.000000,0.000000,0.000000,0.000000,178.890000,0.050000,-0.310000,0.000000,51.000000,20.640000
1779334524.530977,0,0.000000,0.000000,0.000000,0.000000,178.890000,0.050000,-0.310000,0.000000,51.000000,20.650000
1779334524.531476,0,0.000000,0.000000,0.000000,0.000000,174.550000,0.050000,-0.310000,0.000000,51.000000,20.670000
1779334524.531976,0,0.000000,0.000000,0.000000,0.000000,174.550000,0.050000,-0.310000,0.000000,51.000000,20.680000
1779334524.531976,0,0.000000,0.000000,0.000000,0.000000,174.550000,0.050000,-0.310000,0.000000,51.000000,20.700000
1779334524.532476,0,0.000000,0.000000,0.000000,0.000000,174.550000,0.050000,-0.310000,0.000000,51.000000,20.700000
1779334524.532476,0,0.000000,0.000000,0.000000,0.000000,174.550000,0.050000,-0.310000,0.000000,51.000000,20.710000
1779334524.533977,0,0.000000,0.000000,0.000000,0.000000,172.070000,0.050000,-0.310000,0.000000,48.000000,20.710000
1779334524.534477,0,0.000000,0.000000,0.000000,0.000000,172.070000,0.050000,-0.310000,0.000000,48.000000,20.730000
1779334524.535478,0,0.000000,0.000000,0.000000,0.000000,172.070000,0.050000,-0.310000,0.000000,48.000000,20.750000
1779334524.535478,0,0.000000,0.000000,0.000000,0.000000,172.070000,0.050000,-0.310000,0.000000,48.000000,20.760000
1779334524.568477,0,0.000000,0.000000,0.000000,0.000000,172.070000,0.050000,-0.310000,0.000000,48.000000,20.770000
1779334524.606480,0,0.000000,0.000000,0.000000,0.000000,173.610000,0.050000,-0.310000,0.000000,48.000000,20.780000
1779334524.606977,0,0.000000,0.000000,0.000000,0.000000,173.610000,0.050000,-0.310000,0.000000,48.000000,20.790000
1779334524.607478,0,0.000000,0.000000,0.000000,0.000000,173.610000,0.050000,-0.310000,0.000000,48.000000,20.790000
1779334524.639977,0,0.000000,0.000000,0.000000,0.000000,173.610000,0.050000,-0.310000,0.000000,48.000000,20.800000
1779334524.640478,0,0.000000,0.000000,0.000000,0.000000,173.610000,0.050000,-0.310000,0.000000,48.000000,20.810000
1779334524.665977,0,0.000000,0.000000,0.000000,0.000000,174.610000,0.050000,-0.310000,0.000000,48.000000,20.820000
1779334524.665977,0,0.000000,0.000000,0.000000,0.000000,174.610000,0.050000,-0.310000,0.000000,48.000000,20.840000
1779334524.666479,0,0.000000,0.000000,0.000000,0.000000,174.610000,0.050000,-0.310000,0.000000,48.000000,20.850000
1779334524.666977,0,0.000000,0.000000,0.000000,0.000000,174.610000,0.050000,-0.310000,0.000000,48.000000,20.860000
1779334524.666977,0,0.000000,0.000000,0.000000,0.000000,174.610000,0.050000,-0.310000,0.000000,48.000000,20.870000
1779334524.692976,0,0.000000,0.000000,0.000000,0.000000,174.910000,0.050000,-0.310000,0.000000,48.000000,20.880000
1779334524.693477,0,0.000000,0.000000,0.000000,0.000000,174.910000,0.050000,-0.310000,0.000000,48.000000,20.890000
1779334524.716477,0,0.000000,0.000000,0.000000,0.000000,174.910000,0.050000,-0.310000,0.000000,48.000000,20.900000
1779334524.716976,0,0.000000,0.000000,0.000000,0.000000,174.910000,0.050000,-0.310000,0.000000,48.000000,20.920000
1779334524.736980,0,0.000000,0.000000,0.000000,0.000000,174.910000,0.050000,-0.310000,0.000000,48.000000,20.930000
1779334524.737477,0,0.000000,0.000000,0.000000,0.000000,174.910000,0.050000,-0.310000,0.000000,48.000000,20.940000
1779334524.737977,0,0.000000,0.000000,0.000000,0.000000,174.910000,0.050000,-0.310000,0.000000,48.000000,20.950000
1779334524.760976,0,0.000000,0.000000,0.000000,0.000000,174.910000,0.050000,-0.310000,0.000000,48.000000,20.950000
1779334524.781476,0,0.000000,0.000000,0.000000,0.000000,174.910000,0.050000,-0.310000,0.000000,48.000000,20.960000
1779334524.782476,0,0.000000,0.000000,0.000000,0.000000,174.750000,0.050000,-0.310000,0.000000,51.000000,20.980000
1779334524.782977,0,0.000000,0.000000,0.000000,0.000000,174.750000,0.050000,-0.310000,0.000000,51.000000,21.000000
1779334524.804977,0,0.000000,0.000000,0.000000,0.000000,174.750000,0.050000,-0.310000,0.000000,51.000000,21.010000
1779334524.805476,0,0.000000,0.000000,0.000000,0.000000,174.750000,0.050000,-0.310000,0.000000,51.000000,21.020000
1779334524.829977,0,0.000000,0.000000,0.000000,0.000000,174.750000,0.050000,-0.310000,0.000000,51.000000,21.030000
1779334524.853477,0,0.000000,0.000000,0.000000,0.000000,179.210000,0.050000,-0.310000,0.000000,48.000000,21.040000
1779334524.853976,0,0.000000,0.000000,0.000000,0.000000,179.210000,0.050000,-0.310000,0.000000,48.000000,21.040000
1779334524.854476,0,0.000000,0.000000,0.000000,0.000000,179.210000,0.050000,-0.310000,0.000000,48.000000,21.050000
1779334524.878477,0,0.000000,0.000000,0.000000,0.000000,179.210000,0.050000,-0.310000,0.000000,48.000000,21.060000
