host_epoch,side,timestamp_us,sample_age_us,zone_01_g,zone_02_g,zone_03_g,zone_04_g,zone_05_g,zone_06_g,zone_07_g,zone_08_g,zone_09_g,zone_10_g,zone_11_g,zone_12_g,zone_13_g,zone_14_g,zone_15_g,zone_16_g,zone_17_g,zone_18_g,pressure_valid,cop_valid,tau_proxy_valid,intent_unload_request,raw_fault_flags,hl_fault_flags,p_total,p_fore,p_arch,p_heel,p_medial,p_lateral,fz_n,cop_x_mm,cop_y_mm,cop_ap_norm,cop_ml_norm,cop_ap_dot_norm_s,cop_ml_dot_norm_s,stance_phase,tau_proxy_nm,gait_state,motion_state,motion_intent,intent_confidence,insole_heel_strike,insole_toe_off,insole_heel_strike_timestamp_us,insole_toe_off_timestamp_us
1779334255.394176,left,41890074,64151,0,0,4955,1546,0,0,0,0,4122,1331,0,0,0,0,924,1579,480,0,1,1,1,0,3,35,15238.58984375,6596.98681640625,5629.73193359375,3011.87060546875,15238.58984375,9.577729720433581e-09,149.43951416015625,55.16477966308594,76.02867889404297,0.18257558345794678,-0.3858756721019745,0.0006741767865605652,0.0031075854785740376,1.0,0.020292632281780243,3,1,1,1.0,0,0,9130760,0
1779334255.410177,left,41998080,164,0,0,4883,1527,0,0,0,0,0,0,913,0,4074,1332,0,1568,492,0,1,1,1,0,3,35,15133.033203125,6563.3916015625,5567.8759765625,3001.765869140625,15133.033203125,6.2255245403264325e-09,148.40435791015625,55.15049743652344,76.10087585449219,0.18291053175926208,-0.385516881942749,0.003101200796663761,0.0033219465985894203,1.0,0.022772785276174545,3,1,1,1.0,0,0,9130760,0
1779334255.469676,left,42050077,166,0,0,4847,1516,0,0,0,0,4045,1305,0,0,0,0,912,1555,479,0,1,1,1,0,0,32,14988.4716796875,6509.70458984375,5491.619140625,2987.14794921875,14988.4716796875,4.046591062234484e-09,146.9866943359375,55.14211654663086,76.19902801513672,0.18336595594882965,-0.38530629873275757,0.008758663199841976,0.004049910698086023,1.0,0.026084555312991142,3,1,1,1.0,0,0,9130760,0
1779334255.508178,left,1837264192,165,0,0,4877,1530,0,0,0,0,0,0,912,0,4084,1318,0,1543,468,0,1,1,1,0,0,32,14902.20703125,6472.7080078125,3888.752685546875,4540.74609375,14440.9072265625,461.29998779296875,146.14073181152344,52.61723709106445,93.95774841308594,0.26576536893844604,-0.32187503576278687,1.584512710571289,1.219761610031128,1.0,0.6608140468597412,3,1,1,1.0,0,0,9130760,0
1779334255.576177,left,42156101,164,0,0,4916,1545,0,0,0,0,4100,1325,0,0,0,0,909,1527,465,0,1,1,1,0,0,32,14823.3837890625,6449.7099609375,4400.18896484375,3973.48486328125,14523.5380859375,299.8450012207031,145.36773681640625,53.473365783691406,87.79264068603516,0.2371595799922943,-0.34338313341140747,-0.5295308828353882,-0.3981432616710663,1.0,0.43807968497276306,3,1,1,1.0,0,0,9130760,0
1779334255.629177,left,42209083,164,0,0,4940,1545,0,0,0,0,4125,1338,0,0,0,0,895,1501,440,0,1,1,1,0,0,32,14805.75,6453.66162109375,4758.87255859375,3593.215087890625,14610.849609375,194.8992462158203,145.19480895996094,54.02363967895508,83.62989044189453,0.21784469485282898,-0.35720741748809814,-0.36455562710762024,-0.26092416048049927,1.0,0.28970247507095337,3,1,1,1.0,0,0,9130760,0
1779334255.672177,left,42254710,164,0,0,4934,1528,0,0,0,0,4121,1348,0,0,0,0,902,1484,401,0,1,1,1,0,0,32,14797.0869140625,6462.5302734375,5003.9169921875,3330.639892578125,14670.40234375,126.68450927734375,145.10984802246094,54.36750793457031,80.78952026367188,0.20466552674770355,-0.36584606766700745,-0.28884580731391907,-0.18933197855949402,1.0,0.18870499730110168,3,1,1,1.0,0,0,9130760,0
1779334255.739177,left,42308084,166,0,0,4882,1484,0,0,0,0,4050,1274,0,0,0,0,875,1456,375,0,1,1,1,0,0,32,14763.4580078125,6462.3447265625,5163.1962890625,3137.916015625,14681.11328125,82.34493255615234,144.78005981445312,54.574806213378906,78.62957000732422,0.19544103741645813,-0.37105420231819153,-0.17282739281654358,-0.09757812321186066,1.1754943508222875e-38,0.11786407232284546,3,1,1,1.0,0,0,9130760,0
1779334255.763676,left,42358106,164,0,0,4734,1391,0,0,0,0,3912,1178,0,0,0,0,856,1401,299,0,1,1,1,0,0,32,14634.8466796875,6428.6240234375,5219.4775390625,2986.745361328125,14581.322265625,53.524208068847656,143.51881408691406,54.68522262573242,77.42755889892578,0.1890663057565689,-0.37382814288139343,-0.12743856012821198,-0.05545441433787346,1.0,0.06860180199146271,3,1,1,1.0,0,0,9130760,0
1779334255.815676,left,42411081,165,0,0,4367,1164,0,0,0,0,3629,953,0,0,0,0,753,1296,109,0,1,1,1,0,0,32,14332.5,6322.35546875,5174.16064453125,2835.984619140625,14297.708984375,34.79073715209961,140.55380249023438,54.73225784301758,76.33985900878906,0.18401940166950226,-0.3750095069408417,-0.09526954591274261,-0.02230040729045868,1.0,0.029785221442580223,3,1,1,1.0,0,0,9130760,0
