host_epoch,side,timestamp_us,sample_age_us,zone_01_g,zone_02_g,zone_03_g,zone_04_g,zone_05_g,zone_06_g,zone_07_g,zone_08_g,zone_09_g,zone_10_g,zone_11_g,zone_12_g,zone_13_g,zone_14_g,zone_15_g,zone_16_g,zone_17_g,zone_18_g,pressure_valid,cop_valid,tau_proxy_valid,intent_unload_request,raw_fault_flags,hl_fault_flags,p_total,p_fore,p_arch,p_heel,p_medial,p_lateral,fz_n,cop_x_mm,cop_y_mm,cop_ap_norm,cop_ml_norm,cop_ap_dot_norm_s,cop_ml_dot_norm_s,stance_phase,tau_proxy_nm,gait_state,motion_state,motion_intent,intent_confidence,insole_heel_strike,insole_toe_off,insole_heel_strike_timestamp_us,insole_toe_off_timestamp_us
1779334528.479976,left,24682484,188,0,0,2316,0,0,0,0,0,9,0,0,0,0,0,22016,0,0,1792,1,1,0,0,0,32,-0.19295266270637512,-0.7697753310203552,-5.680583724048895e+19,4.425391650353383e-11,6.390237690774103e-39,-6.162975822039155e-33,2.3379882851374575e-33,-1.5765795273839275e+34,-3338148249600.0,-1.0034840626991187e-20,1.4895621538162231,-6.064018151859836e-25,1.7250997234628205e-38,3.793048280370405e+30,1.7499087318647664e-38,1,1,16,822486237184.0,0,0,35667,771751936
1779334528.497976,left,24733484,185,0,0,2306,0,0,0,0,0,2369,0,0,0,0,0,0,88,0,0,1,1,1,0,0,32,4780.52734375,2304.689453125,2398.19140625,83.28226470947266,4780.52734375,0.0,46.880958557128906,53.02043914794922,51.62726593017578,0.06935443729162216,-0.33200448751449585,0.005006643943488598,-0.0004300884320400655,1.0,-0.2734805643558502,3,1,1,1.0,0,0,9130768,0
1779334528.542976,left,24786494,185,0,0,2305,0,0,0,0,0,2396,0,0,0,0,0,0,88,0,0,1,1,1,0,0,32,4783.8427734375,2305.148193359375,2393.760986328125,84.9334716796875,4783.8427734375,0.0,46.91347122192383,53.028411865234375,51.66182327270508,0.06951476633548737,-0.3322048485279083,0.0030245056841522455,-0.0037796834949404,1.0,-0.27327364683151245,3,1,1,1.0,0,0,9130768,0
1779334528.611477,left,24837488,185,0,0,2317,0,0,0,0,0,2401,0,0,0,0,0,0,88,0,0,1,1,1,0,0,32,4785.998046875,2305.4462890625,2394.544677734375,86.00675964355469,4785.998046875,0.0,46.9345703125,53.03358840942383,87.36851501464844,0.06961886584758759,-0.3323349058628082,0.0024533942341804504,-0.0025504438672214746,1.0,-0.27313917875289917,3,1,1,1.0,0,0,9130768,0
1779334528.648546,left,24887300,185,0,0,2311,0,0,0,0,0,2400,0,0,0,0,0,0,76,0,0,1,1,1,0,0,32,4790.548828125,2307.39013671875,2396.4541015625,86.70439147949219,4790.548828125,0.0,46.97923278808594,53.03572082519531,51.697593688964844,0.06968075037002563,-0.3323884904384613,0.001242361729964614,-0.0010757362470030785,1.0,-0.27324560284614563,3,1,1,1.0,0,0,9130768,0
1779334528.702152,left,24938504,185,0,256,9,0,0,0,0,23808,9,0,0,0,0,0,22528,0,0,1792,1,1,0,0,536870912,0,2.504689264422505e+32,4.1729846648970956e-20,-211618807808.0,5.999068651342418e-31,6.390386228411322e-39,1.5845632502852868e+29,3.567524281890008e-38,4.524567742691943e-08,-213643803230208.0,8.741808461887025e+20,2.747769937668027e+19,5.3698256740580065e+19,1.7099358523908224e-38,-5.787732361405037e+25,1.7498942984905838e-38,1,1,16,822486237184.0,0,0,35667,218103808
1779334528.746524,left,24990508,188,0,0,2048,0,0,0,0,0,2400,0,0,0,0,0,0,76,0,0,1,1,1,0,0,32,4789.12890625,2307.374755859375,2398.501708984375,83.25260162353516,4789.12890625,0.0,46.965309143066406,53.027374267578125,51.623382568359375,0.0693364068865776,-0.3321787416934967,-0.007393846288323402,0.004702100995928049,1.0,-0.27401724457740784,3,1,1,1.0,0,0,9130768,0
1779334528.798900,left,25043519,186,0,0,2312,0,0,0,0,0,2401,0,0,0,0,0,0,87,0,0,1,1,1,0,0,32,4790.1337890625,2306.543701171875,2399.026123046875,84.56419372558594,4790.1337890625,0.0,46.975162506103516,53.035762786865234,51.65140914916992,0.06946644932031631,-0.3323894441127777,0.0024531215894967318,-0.003974692430347204,1.0,-0.27375268936157227,3,1,1,1.0,0,0,9130768,0
1779334528.859801,left,25097506,186,0,0,2315,0,0,0,0,0,2400,0,0,0,0,0,0,87,0,0,1,1,1,0,0,32,4793.23681640625,2308.453369140625,2399.366943359375,85.4167251586914,4793.23681640625,0.0,47.00559616088867,53.03489685058594,51.668678283691406,0.06954656541347504,-0.3323676288127899,0.001483988598920405,0.00040408430504612625,1.0,-0.2737314999103546,3,1,1,1.0,0,0,9130768,0
1779334528.919380,left,25150517,186,0,0,2305,0,0,0,0,0,2400,0,0,0,0,0,0,87,0,0,1,1,1,0,0,32,4795.25390625,2309.694580078125,2399.588623046875,85.97087097167969,4795.25390625,0.0,47.02537536621094,53.03432846069336,51.67988586425781,0.06959857791662216,-0.33235347270965576,0.0009811643976718187,0.0002670408575795591,1.0,-0.2737177014350891,3,1,1,1.0,0,0,9130768,0
