host_epoch,side,timestamp_us,sample_age_us,zone_01_g,zone_02_g,zone_03_g,zone_04_g,zone_05_g,zone_06_g,zone_07_g,zone_08_g,zone_09_g,zone_10_g,zone_11_g,zone_12_g,zone_13_g,zone_14_g,zone_15_g,zone_16_g,zone_17_g,zone_18_g,pressure_valid,cop_valid,tau_proxy_valid,intent_unload_request,raw_fault_flags,hl_fault_flags,p_total,p_fore,p_arch,p_heel,p_medial,p_lateral,fz_n,cop_x_mm,cop_y_mm,cop_ap_norm,cop_ml_norm,cop_ap_dot_norm_s,cop_ml_dot_norm_s,stance_phase,tau_proxy_nm,gait_state,motion_state,motion_intent,intent_confidence,insole_heel_strike,insole_toe_off,insole_heel_strike_timestamp_us,insole_toe_off_timestamp_us
1779282323.173394,left,21870933,39185,0,0,353,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,1,0,0,1,3,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.225894,left,21870933,91183,0,0,353,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,1,0,0,1,3,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.259393,left,21870933,143185,0,0,353,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,1,0,0,1,3,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.332893,left,21870933,196196,0,0,353,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,255,3,1.0,0,0,0,0
1779282323.424895,left,21870933,298193,0,0,353,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,255,3,1.0,0,0,0,0
1779282323.491896,left,21870933,353215,0,0,353,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,255,3,1.0,0,0,0,0
1779282323.503895,left,22235965,188,0,0,352,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,1,0,0,1,3,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.537394,left,22288945,185,0,0,353,0,0,0,0,0,0,0,0,40192,2,0,0,0,0,2304,1,0,0,0,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0,822486237184.0,0,0,0,0
1779282323.589896,left,22340953,185,0,0,333,0,0,0,0,0,661,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.641394,left,22396956,185,0,0,353,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.687394,left,22440961,187,0,0,343,0,0,0,0,0,660,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.747394,left,22494977,188,0,0,322,0,0,0,0,0,661,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.807441,left,22552963,184,0,0,343,0,0,0,0,0,618,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.843895,left,22596762,184,0,0,352,0,0,0,0,0,649,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.896394,left,22648977,184,0,0,288,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282323.950394,left,22699971,185,0,0,132,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282324.001895,left,22753988,188,0,0,135,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282324.054394,left,22805782,185,0,0,192,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282324.106894,left,22858977,184,0,0,234,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282324.159394,left,22911983,185,0,0,289,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282324.212895,left,22964993,184,0,0,376,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282324.264395,left,23017004,184,0,0,451,0,0,0,0,0,337,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282324.316895,left,23071991,185,0,0,442,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282324.368895,left,23117588,184,0,0,452,0,0,0,0,0,397,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
1779282324.482222,left,23225988,185,0,0,442,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,1,0,0,1,0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,3,1.0,0,0,0,0
